"nombre","ALCALA","ANDALUCIA","ANSERMANUEVO","ARGELIA","BOLIVAR","BUENAVENTURA","BUGA","BUGALAGRANDE","CAICEDONIA","CALI","CALIMA (DARIEN)","CANDELARIA","CARTAGO","DAGUA","EL AGUILA","EL CAIRO","EL CERRITO","EL DOVIO","FLORIDA","GINEBRA","GUACARI","JAMUNDI","LA CUMBRE","LA UNION","LA VICTORIA","OBANDO","PALMIRA","PRADERA","RESTREPO","RIOFRIO","ROLDANILLO","SAN PEDRO","SEVILLA","TORO","TRUJILLO","TULUA","ULLOA","VERSALLES","VIJES","YOTOCO","YUMBO","ZARZAL"
"PARTIDO LIBERAL COLOMBIANO",823,853,194,188,314,19535,5167,1361,343,75378,652,3651,4947,1256,47,45,3063,228,2245,1400,1802,4894,560,886,465,1428,14448,2485,833,153,623,647,2028,90,162,7867,42,170,329,454,3875,2828
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",179,64,23,14,38,1928,492,128,60,6821,55,345,607,133,7,4,306,13,152,107,137,448,37,56,28,104,1003,290,57,18,32,56,213,21,21,694,4,21,60,36,263,353
"NANCY DENISE CASTILLO GARCIA",467,43,28,9,4,1204,507,51,37,10097,38,467,1286,45,9,10,483,38,114,919,77,422,56,51,15,1161,879,261,392,13,32,27,101,14,10,1295,15,6,25,40,586,544
"CARLOS ANDRES CLAVIJO GONZALEZ",62,332,27,12,176,1335,733,306,17,7308,60,313,294,50,3,2,166,3,165,32,50,640,42,114,31,43,1062,728,95,13,76,59,150,6,4,1111,6,9,35,42,368,871
"FABIO ALONSO ARROYAVE BOTERO",39,81,75,136,18,1080,1779,179,26,12087,95,268,1497,423,19,9,538,9,77,48,254,935,46,176,62,25,663,309,56,46,86,282,169,20,75,838,9,1,49,227,1087,491
"GRISELDA JANETH RESTREPO GALLEGO",30,17,2,4,5,289,338,216,117,8560,83,831,54,20,4,4,323,71,586,35,118,299,25,60,208,3,5461,328,22,3,42,9,816,2,3,830,1,16,11,36,52,61
"OFELIA VILLEGAS ROMERO",14,13,3,2,2,226,125,9,5,2650,13,77,176,15,1,0,62,0,33,10,20,89,2,7,1,5,149,18,6,1,7,3,9,2,2,123,0,0,10,12,21,37
"JUAN FERNANDO REYES KURI",7,12,6,2,9,209,202,29,19,16265,19,250,209,39,0,1,123,7,331,94,24,561,18,35,3,20,2429,123,30,15,209,10,50,3,7,174,2,28,46,6,86,40
"MARIA ELENA SALAZAR URIBE",6,13,12,6,32,582,233,331,35,3371,238,126,369,369,1,5,550,66,341,105,808,825,316,315,78,9,587,80,131,10,91,6,298,4,7,323,1,81,72,17,1291,106
"HERNAN SINISTERRA VALENCIA",6,168,1,1,1,12075,325,16,4,3025,22,625,171,97,0,0,264,1,267,18,52,453,2,10,8,23,1215,88,18,6,1,139,120,9,2,374,1,0,3,9,13,215
"JOSE WILBER MURILLO HOYOS",5,24,6,0,24,84,108,25,3,723,7,25,109,8,1,4,12,7,10,2,6,33,1,26,19,9,39,46,1,20,9,40,7,1,20,1232,0,4,6,13,15,37
